feature,importance
has_https,0.26622491850672436
has_http,0.19621037805462496
slash_count,0.17317142543776964
path_length,0.1553663063998668
digit_count,0.058075888376256594
special_char_count,0.041439505769212064
url_length,0.029113011602804797
url_entropy,0.021146269276917432
letter_count,0.017993407621049614
dot_count,0.01502225493906222
hyphen_count,0.012786201269577663
hostname_length,0.011673917810487043
has_query,0.0006838134347793701
question_count,0.0004259619185222787
query_length,0.0003633168740119123
equal_count,0.0002176354641715121
at_count,3.333501921660048e-05
has_at_symbol,2.7619203308517602e-05
has_fragment,1.2877567453372323e-05
fragment_length,6.138912857528951e-06
has_ip_address,3.7161420957817816e-06
has_suspicious_double_slash,2.1001205626212066e-06
has_percent_encoding,2.786672078757077e-10
